CustomerId,CustomerName
1001,Mina Ahmed
1002,Sofia Kim
1003,Daniel Park
1004,Aisha Rahman
1005,Emily Chen
1006,Noah Williams
1007,Hana Lee
1008,Layla Khan
1009,Jason Nguyen
1010,Priya Patel
1011,Olivia Martinez
1012,Ethan Brown
1013,Sarah Johnson
1014,Yuna Choi
1015,Amir Hassan
1016,Grace Liu
1017,Fatima Ali
1018,Kevin Tran
1019,Nora Smith
1020,Zain Malik
1021,Maya Thompson
1022,Carlos Rivera
1023,Jasmine Walker
1024,Liam Anderson
1025,Isabella Garcia
1026,Omar Hussein
1027,Chloe Davis
1028,Ryan Mitchell
1029,Leah Wilson
1030,Marcus Robinson
